earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-04-29 04:00:00,5.08,5.05,-0.49,FEDERALBNK
2026-01-16 01:00:00,4.07,4.19,3.0,FEDERALBNK
2025-10-18 02:00:00,3.54,3.85,8.76,FEDERALBNK
2025-08-02 06:00:00,3.96,3.47,-12.43,FEDERALBNK
2025-04-30 07:00:00,3.98,4.16,4.59,FEDERALBNK
2025-01-27 10:00:00,4.18,3.85,-7.98,FEDERALBNK
2024-10-28 09:00:00,4.13,4.27,3.52,FEDERALBNK
2024-07-24 08:00:00,3.9,4.09,4.82,FEDERALBNK
2024-05-02 03:00:00,4.03,3.68,-8.76,FEDERALBNK
2024-01-16 02:00:00,3.9,4.11,5.42,FEDERALBNK
2023-10-16 03:00:00,3.88,4.12,6.18,FEDERALBNK
2023-07-13 03:00:00,3.69,3.98,7.86,FEDERALBNK
2023-05-05 03:00:00,3.73,4.21,12.9,FEDERALBNK
2023-01-16 01:00:00,3.39,3.75,10.65,FEDERALBNK
2022-10-14 02:00:00,2.86,3.31,15.74,FEDERALBNK
2022-07-15 02:00:00,2.25,2.83,25.55,FEDERALBNK
2022-05-06 04:00:00,2.55,2.55,0.16,FEDERALBNK
2022-01-25 02:00:00,2.25,2.46,9.43,FEDERALBNK
2021-10-22 03:00:00,2.02,2.2,8.91,FEDERALBNK
2021-07-23 04:00:00,2.72,1.83,-32.6,FEDERALBNK
2021-05-17 03:00:00,1.84,2.38,29.11,FEDERALBNK
2021-01-20 02:00:00,1.96,2.02,3.19,FEDERALBNK
2020-10-16 03:00:00,1.98,1.54,-22.12,FEDERALBNK
2020-07-15 05:00:00,2.03,2.01,-1.11,FEDERALBNK
