earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-05-11 06:00:00,0.71,2.07,192.92,JSWENERGY
2026-01-23 08:00:00,1.47,2.78,89.72,JSWENERGY
2025-10-17 08:00:00,5.22,4.04,-22.56,JSWENERGY
2025-07-30 20:00:00,3.93,4.25,8.25,JSWENERGY
2025-05-15 08:00:00,1.56,2.34,49.68,JSWENERGY
2025-01-28 09:00:00,2.43,0.96,-60.55,JSWENERGY
2024-10-24 09:00:00,4.5,4.88,8.44,JSWENERGY
2024-07-19 09:00:00,1.86,3.0,61.0,JSWENERGY
2024-05-07 08:00:00,1.93,2.13,10.65,JSWENERGY
2024-01-23 07:00:00,1.9,1.41,-25.79,JSWENERGY
2023-10-20 09:00:00,3.8,5.17,36.05,JSWENERGY
2023-07-14 09:00:00,2.35,1.76,-25.11,JSWENERGY
2023-05-23 09:00:00,1.45,1.66,14.48,JSWENERGY
2023-01-20 07:00:00,1.0,1.09,9.0,JSWENERGY
2022-10-28 09:00:00,2.8,2.84,1.43,JSWENERGY
2022-07-21 08:00:00,2.0,2.86,43.18,JSWENERGY
2022-05-03 07:00:00,1.6,2.26,40.95,JSWENERGY
2021-10-29 07:00:00,1.92,2.07,7.57,JSWENERGY
2021-07-30 04:00:00,1.7,1.22,-28.07,JSWENERGY
2021-06-25 06:00:00,0.23,0.65,176.71,JSWENERGY
2021-01-29 03:00:00,1.1,0.75,-31.56,JSWENERGY
2020-11-03 04:00:00,2.2,2.14,-2.73,JSWENERGY
2020-07-31 04:00:00,1.36,1.3,-4.06,JSWENERGY
2020-05-20 05:00:00,0.31,0.66,115.01,JSWENERGY
