earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-05-22 07:00:00,16.19,12.85,-20.61,TORNTPHARM
2026-02-13 06:00:00,18.66,19.0,1.82,TORNTPHARM
2025-11-07 07:00:00,17.47,17.75,1.57,TORNTPHARM
2025-07-28 06:00:00,17.29,16.19,-6.35,TORNTPHARM
2025-05-20 07:00:00,15.93,15.24,-4.34,TORNTPHARM
2025-01-24 07:00:00,15.1,14.88,-1.45,TORNTPHARM
2024-10-25 07:00:00,14.54,13.37,-8.02,TORNTPHARM
2024-07-23 07:00:00,13.97,13.51,-3.26,TORNTPHARM
2024-05-24 08:00:00,13.0,13.27,2.06,TORNTPHARM
2024-02-02 03:00:00,12.28,11.27,-8.17,TORNTPHARM
2023-10-23 08:00:00,11.29,11.39,0.85,TORNTPHARM
2023-08-07 07:00:00,10.84,11.18,3.1,TORNTPHARM
2023-05-30 07:00:00,9.43,8.48,-10.03,TORNTPHARM
2023-01-25 07:00:00,10.95,8.36,-23.63,TORNTPHARM
2022-10-21 08:00:00,14.93,9.22,-38.26,TORNTPHARM
2022-07-29 08:00:00,13.03,20.9,60.42,TORNTPHARM
2022-05-25 08:00:00,7.75,10.85,40.04,TORNTPHARM
2022-01-25 07:00:00,9.67,7.38,-23.75,TORNTPHARM
2021-10-26 08:00:00,9.87,9.32,-5.66,TORNTPHARM
2021-07-27 07:00:00,11.13,9.77,-12.3,TORNTPHARM
2021-05-18 06:00:00,7.74,9.58,23.85,TORNTPHARM
2021-02-08 05:00:00,8.63,8.76,1.51,TORNTPHARM
2020-10-26 07:00:00,8.64,9.16,6.02,TORNTPHARM
2020-07-30 07:00:00,6.5,9.49,46.09,TORNTPHARM
